Ward Code,Diabetes_2010,Hypertension_2010,Diabetes_2011,Hypertension_2011,Diabetes_2012,Hypertension_2012,Diabetes_2013,Hypertension_2013,Diabetes_2014,Hypertension_2014,Diabetes_2015,Hypertension_2015,Diabetes_2016,Hypertension_2016,Diabetes_2017,Hypertension_2017,Diabetes_2018,Hypertension_2018,Diabetes_2019,Hypertension_2019
E05000337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000348,0.548507324,0.649292373,0.552214428,0.645788012,0.523934812,0.640847503,0.541709133,0.650589909,0.562410685,0.686560344,0.585940126,0.665139752,0.56431394,0.664136931,0.589694428,0.644812369,0.58859088,0.636303218,0.574461999,0.664829142
E05000349,0.149716407,0.143920794,0.169990851,0.145289892,0.136572617,0.140372942,0.144041479,0.142342378,0.149640445,0.142866969,0.157954849,0.151204771,0.140793998,0.133985575,0.149571137,0.145675663,0.163743498,0.143941197,0.18085709,0.142435662
E05000350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000366,0.971321922,1.076447691,1.041310746,1.004874453,1.006304409,1.069200456,0.993182423,1.065148581,0.949411488,1.029985457,0.971955485,1.030308668,0.970003391,0.961000323,1.027017686,0.963618761,1.008404612,0.928960177,1.032626359,0.930202378
E05000367,0.673597792,0.607593269,0.660545704,0.527915015,0.696230338,0.674288158,0.672173098,0.59728398,0.650116093,0.56435843,0.672303824,0.560434643,0.714054884,0.538034795,0.717470006,0.529553511,0.757424003,0.487074952,0.722110605,0.501762558
E05000368,1.471051873,1.101343394,1.620074597,1.099818712,1.421779522,1.10976121,1.429109014,1.075113799,1.452894503,1.068236608,1.452396277,1.075006537,1.624588709,1.153191182,1.600880987,1.128001874,1.608664549,1.110434935,1.611360525,1.070550624
E05000369,2.310411516,1.83956724,2.410241702,1.815277354,2.482645328,1.944489721,2.629524779,1.970954132,2.546305577,1.919131472,2.609787722,1.949296714,2.200147562,1.632788923,2.297968438,1.722638308,2.382519418,1.789553823,2.316678994,1.759392534
E05000370,1.495279158,1.197776314,1.620784018,1.170046762,1.696221714,1.328919744,1.574913351,1.266799733,1.58397182,1.223147548,1.597247963,1.196016613,1.566464438,1.177262298,1.551261313,1.147231888,1.464232811,1.071330794,1.500481931,1.076364733
E05000371,1.367444301,1.092017486,1.467156073,1.077693063,1.326289653,1.092204112,1.412931328,1.059908237,1.41203887,0.984510216,1.442678808,1.034572632,1.448870601,1.020518966,1.437183548,1.019172678,1.437784948,0.953710868,1.447235836,0.978402837
E05000372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000374,3.075810642,2.480280256,3.220952478,2.356863543,2.981588883,2.558988162,3.000287026,2.494366053,2.985008793,2.424390268,3.002817501,2.321587321,2.936640376,2.143693578,3.18506334,2.327657212,3.002679906,2.026425425,3.265028388,2.221467554
E05000375,1.668978182,1.314673533,1.689840834,1.401538409,1.79902764,1.564637623,1.762383296,1.537044723,1.731398503,1.501323298,1.72171796,1.460486267,1.806588537,1.479487609,1.804672369,1.461435133,1.757369682,1.362709797,1.682360238,1.348918143
E05000376,0.645416464,0.441878755,0.822376886,0.532460778,0.298140802,0.207250897,0.320412687,0.214253012,0.328780405,0.222051897,0.327404777,0.22447153,0.341187654,0.229456378,0.407518644,0.302534843,1.021779815,0.756689019,0.867426665,0.603752682
E05000377,0.75722641,0.520398427,0.813388228,0.526134323,0.883157259,0.534654727,0.865587778,0.518688695,0.810519324,0.532304502,0.81847435,0.55455158,0.79766249,0.522831726,0.771773796,0.542304718,0.794017577,0.544617704,0.802910291,0.527246345
E05000378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000379,1.210602859,0.988961415,1.278011588,0.964121853,1.378007753,1.000652313,1.314335027,0.986301325,1.227037424,0.953139228,1.228777875,0.928265184,1.561397688,1.185249292,1.430970822,1.041013872,1.276906047,0.947074753,1.279867334,0.915110685
E05000380,0.817975413,0.796191389,0.854729713,0.790847481,0.762805494,0.808329141,0.759381285,0.801708464,0.767433084,0.805054406,0.783941226,0.774666961,0.75427681,0.736381509,0.768282238,0.754042906,0.802728511,0.745036967,0.795557812,0.728359522
E05000381,2.209698898,1.861193285,2.378237413,1.998571719,2.245638873,1.798477378,2.313585465,1.826294605,2.314339713,1.810727552,2.362182848,1.841155628,2.435798539,1.966533194,2.418435848,1.98927516,2.454246283,2.031013173,2.404345659,1.981864647
E05000400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000419,1.513580796,1.433067848,1.625151881,1.450377825,1.804312737,1.640599323,1.522451561,1.414713478,1.782073113,1.624820667,1.702034721,1.581675684,1.665116138,1.472350434,1.671502896,1.397412082,1.510851883,1.313296036,1.542114565,1.332611984
E05000420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000423,1.938211869,1.412200332,2.095963007,1.522828776,1.970579104,1.395349968,1.983583046,1.378004717,1.957143278,1.34441431,1.859428321,1.303349827,1.774907551,1.198779021,1.818499127,1.18670264,2.192037323,1.556519396,2.174801421,1.556116975
E05000424,1.902234237,1.420364493,2.194635657,1.557656468,1.704424609,1.274526278,1.64099759,1.19585746,1.603130618,1.124835407,1.631203076,1.141044336,1.610408289,1.124323596,1.572308248,1.144984373,1.706900681,1.204129138,1.843115458,1.315261285
E05000425,1.441913544,1.111148372,1.574334993,1.088289113,1.456848203,1.231755374,1.429396276,1.134101434,1.382706639,1.01140525,1.421409991,1.027963823,1.48249192,0.98317619,1.523334934,0.971598095,1.56143543,0.925767766,1.534352028,0.987865339
E05000426,0.914187049,0.662710342,1.000662465,0.642529904,1.010812384,0.753695878,0.883166953,0.65607399,0.983761299,0.65935414,0.902600233,0.586031832,0.85609109,0.45816978,0.893949776,0.483269774,0.90288453,0.494322766,0.952169855,0.564683206
E05000427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000429,1.320183986,0.818488133,1.481139478,0.890935583,1.76547655,0.926692827,1.698292712,0.904598394,1.726390048,0.85952905,1.602665313,0.836313415,1.523584095,0.829598727,1.616387062,0.874907446,1.502006563,0.850117049,1.466386457,0.874103728
E05000430,0.635375372,0.463939956,0.807822023,0.485793433,0.637567735,0.415051816,0.588872232,0.401685079,0.691965368,0.456432731,0.773073722,0.497660183,0.700976014,0.44569534,0.714565601,0.465650043,0.922373896,0.530778413,0.784388441,0.48087175
E05000431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000432,2.583168654,1.767698665,2.947507709,1.891713259,2.485411007,1.739952041,2.595192924,1.713011271,2.775196226,1.822150817,3.085456695,2.004537166,2.929137818,1.852729616,2.963260713,1.826744773,3.163277283,1.8948604,3.018777928,1.848854837
